Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28,125.820000,126.339996,124.150002,124.470001,119.508270,4178200
2020-07-29,124.559998,125.989998,124.070000,125.320000,120.324379,2832800
2020-07-30,123.709999,123.900002,121.639999,122.900002,118.000854,3988100
2020-07-31,122.709999,122.989998,121.089996,122.940002,118.039261,5277700
2020-08-03,123.500000,124.410004,122.150002,124.309998,119.354645,3526100
2020-08-04,123.820000,125.860001,123.820000,125.839996,120.823654,3466100
2020-08-05,126.730003,126.750000,124.610001,125.449997,120.449196,3675400
2020-08-06,125.000000,126.260002,125.000000,126.120003,121.092491,3417100
2020-08-07,123.500000,125.070000,123.209999,124.959999,121.549660,3651000
2020-08-10,125.419998,127.239998,125.180000,127.110001,123.640984,3968300
2020-08-11,128.759995,130.470001,126.610001,126.750000,123.290817,5001200
2020-08-12,127.610001,127.790001,125.879997,126.699997,123.242172,3530200
2020-08-13,125.959999,126.389999,124.769997,125.029999,121.617752,3171300
2020-08-14,124.199997,125.559998,123.910004,125.269997,121.851204,2963400
2020-08-17,125.250000,125.589996,124.410004,124.440002,121.043854,3360100
2020-08-18,125.000000,125.500000,124.239998,124.919998,121.510757,2882400
2020-08-19,124.830002,125.500000,123.500000,123.839996,120.460236,3743900
2020-08-20,123.199997,124.040001,122.809998,123.150002,119.789063,2561200
2020-08-21,123.010002,123.480003,122.309998,123.160004,119.798790,3385100
2020-08-24,123.790001,126.059998,123.360001,125.680000,122.250015,4070800
2020-08-25,126.000000,126.820000,124.489998,124.639999,121.238403,2977700
2020-08-26,124.949997,125.120003,123.949997,124.169998,120.781219,3388300
2020-08-27,124.599998,125.099998,123.980003,124.650002,121.248131,3422700
2020-08-28,124.959999,125.300003,124.220001,125.070000,121.656662,3099600
2020-08-31,125.250000,125.250000,123.029999,123.309998,119.944695,4827900
2020-09-01,122.849998,123.949997,122.150002,123.400002,120.032242,3155300
2020-09-02,123.720001,128.699997,123.580002,128.179993,124.681786,6592400
2020-09-03,128.190002,129.949997,123.650002,124.449997,121.053581,5716800
2020-09-04,124.349998,125.349998,121.239998,122.300003,118.962265,6018200
2020-09-08,122.160004,122.870003,120.709999,121.209999,117.902008,5210300
2020-09-09,122.129997,123.699997,121.290001,122.260002,118.923355,3770700
2020-09-10,122.529999,123.580002,120.239998,120.559998,117.269745,3978400
2020-09-11,121.389999,122.699997,120.730003,121.459999,118.145180,3548100
2020-09-14,122.360001,123.379997,121.760002,122.089996,118.757988,3641500
